provinces,annees,trimestres,indicateurs,cibles,sexes,tranches_ages,Valeur,period
Haut-Katanga,2023,T3,Nombre de clients testés,Miniers / Creuseurs,Masculin,15 à 19 ans,69,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Miniers / Creuseurs,Masculin,20 à 24 ans,494,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Miniers / Creuseurs,Masculin,25 à 49 ans,1050,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Miniers / Creuseurs,Féminin,15 à 19 ans,38,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Miniers / Creuseurs,Féminin,20 à 24 ans,107,2023-T3
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Masculin,15 à 19 ans,69,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Masculin,25 à 49 ans,494,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Masculin,25 à 49 ans,1050,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Masculin,>= 50 ans,489,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Féminin,15 à 19 ans,38,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Féminin,25 à 49 ans,107,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Féminin,25 à 49 ans,276,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Miniers / Creuseurs,Féminin,>= 50 ans,87,2023-T4
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,25 à 49 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,15 à 19 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,>= 50 ans,3,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,15 à 19 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,20 à 24 ans,3,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,25 à 49 ans,4,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,15 à 19 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,>= 50 ans,3,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,25 à 49 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,20 à 24 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,20 à 24 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,25 à 49 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,15 à 19 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,>= 50 ans,1,2023-T2
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,15 à 19 ans,2,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,20 à 24 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,>= 50 ans,3,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,20 à 24 ans,2,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,>= 50 ans,1,2023-T3
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Masculin,>= 50 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Miniers / Creuseurs,Féminin,>= 50 ans,1,2023-T4
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,15 à 19 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,25 à 49 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,15 à 19 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,>= 50 ans,3,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,25 à 49 ans,4,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,20 à 24 ans,3,2023-T2
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,20 à 24 ans,1,2023-T3
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,>= 50 ans,3,2023-T2
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,15 à 19 ans,2,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,>= 50 ans,2,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,20 à 24 ans,2,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,>= 50 ans,1,2023-T3
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Masculin,>= 50 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Miniers / Creuseurs,Féminin,>= 50 ans,1,2023-T4
Haut-Katanga,2023,T2,Nombre de clients testés,Etudiants,Masculin,15 à 19 ans,121,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Etudiants,Masculin,20 à 24 ans,156,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Etudiants,Masculin,25 à 49 ans,214,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Etudiants,Féminin,20 à 24 ans,173,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Etudiants,Féminin,15 à 19 ans,101,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Etudiants,Féminin,25 à 49 ans,222,2023-T2
Haut-Katanga,2023,T3,Nombre de clients testés,Etudiants,Masculin,15 à 19 ans,76,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Etudiants,Masculin,20 à 24 ans,111,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Etudiants,Masculin,25 à 49 ans,155,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Etudiants,Féminin,15 à 19 ans,109,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Etudiants,Féminin,20 à 24 ans,114,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Etudiants,Féminin,25 à 49 ans,183,2023-T3
Haut-Katanga,2023,T4,Nombre de clients testés,Etudiants,Masculin,15 à 19 ans,103,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Etudiants,Masculin,25 à 49 ans,145,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Etudiants,Masculin,25 à 49 ans,123,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Etudiants,Féminin,15 à 19 ans,107,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Etudiants,Féminin,25 à 49 ans,132,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Etudiants,Féminin,25 à 49 ans,144,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,15 à 19 ans,2,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,25 à 49 ans,3,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,20 à 24 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,20 à 24 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,15 à 19 ans,1,2023-T2
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,25 à 49 ans,2,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,20 à 24 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,25 à 49 ans,3,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Etudiants,Masculin,15 à 19 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Etudiants,Masculin,25 à 49 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Etudiants,Féminin,20 à 24 ans,1,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Etudiants,Féminin,25 à 49 ans,2,2023-T2
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Etudiants,Masculin,20 à 24 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Etudiants,Masculin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Etudiants,Féminin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Etudiants,Féminin,25 à 49 ans,1,2023-T3
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Etudiants,Masculin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Etudiants,Féminin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Etudiants,Féminin,25 à 49 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Etudiants,Masculin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Etudiants,Féminin,25 à 49 ans,3,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Etudiants,Féminin,15 à 19 ans,2,2023-T4
Haut-Katanga,2023,T1,Nombre de clients testés,Enfants en rupture familiale,Masculin,10 à 14 ans,14,2023-T1
Haut-Katanga,2023,T1,Nombre de clients testés,Enfants en rupture familiale,Masculin,15 à 19 ans,56,2023-T1
Haut-Katanga,2023,T2,Nombre de clients testés,Enfants en rupture familiale,Masculin,10 à 14 ans,11,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Enfants en rupture familiale,Masculin,15 à 19 ans,43,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Enfants en rupture familiale,Féminin,10 à 14 ans,12,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,Enfants en rupture familiale,Féminin,15 à 19 ans,23,2023-T2
Haut-Katanga,2023,T3,Nombre de clients testés,Enfants en rupture familiale,Masculin,10 à 14 ans,17,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Enfants en rupture familiale,Féminin,10 à 14 ans,7,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Enfants en rupture familiale,Masculin,15 à 19 ans,35,2023-T3
Haut-Katanga,2023,T3,Nombre de clients testés,Enfants en rupture familiale,Féminin,15 à 19 ans,16,2023-T3
Haut-Katanga,2023,T4,Nombre de clients testés,Enfants en rupture familiale,Masculin,10 à 14 ans,15,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Enfants en rupture familiale,Masculin,15 à 19 ans,77,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Enfants en rupture familiale,Féminin,10 à 14 ans,9,2023-T4
Haut-Katanga,2023,T4,Nombre de clients testés,Enfants en rupture familiale,Féminin,15 à 19 ans,31,2023-T4
Haut-Katanga,2023,T1,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Masculin,15 à 19 ans,2,2023-T1
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Masculin,15 à 19 ans,4,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Féminin,15 à 19 ans,2,2023-T2
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Masculin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Masculin,10 à 14 ans,1,2023-T4
Haut-Katanga,2023,T3,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Féminin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Masculin,15 à 19 ans,4,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Féminin,10 à 14 ans,2,2023-T4
Haut-Katanga,2023,T4,Nombre de clients diagnostiqués VIH+,Enfants en rupture familiale,Féminin,15 à 19 ans,3,2023-T4
Haut-Katanga,2023,T1,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Masculin,15 à 19 ans,2,2023-T1
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Masculin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Féminin,15 à 19 ans,2,2023-T2
Haut-Katanga,2023,T3,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Féminin,15 à 19 ans,1,2023-T3
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Masculin,15 à 19 ans,3,2023-T2
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Féminin,15 à 19 ans,1,2023-T4
Haut-Katanga,2023,T4,Nombre de PVVIH sous TAR,Enfants en rupture familiale,Masculin,15 à 19 ans,2,2023-T4
Haut-Katanga,2023,T2,Nombre de clients testés,HSH,Masculin,15 à 19 ans,977,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,HSH,Masculin,20 à 24 ans,979,2023-T2
Haut-Katanga,2023,T2,Nombre de clients testés,HSH,Masculin,25 à 49 ans,982,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,HSH,Masculin,20 à 24 ans,15,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,HSH,Masculin,15 à 19 ans,9,2023-T2
Haut-Katanga,2023,T2,Nombre de clients diagnostiqués VIH+,HSH,Masculin,25 à 49 ans,43,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,HSH,Masculin,20 à 24 ans,15,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,HSH,Masculin,15 à 19 ans,9,2023-T2
Haut-Katanga,2023,T2,Nombre de PVVIH sous TAR,HSH,Masculin,25 à 49 ans,43,2023-T2
Kinshasa,2023,T4,Nombre de clients testés,Elèves,Féminin,15 à 19 ans,98,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,Elèves,Masculin,15 à 19 ans,73,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,PS,Féminin,20 à 24 ans,563,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,TG,Masculin,20 à 24 ans,88,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,TG,Féminin,20 à 24 ans,10,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,HSH,Féminin,20 à 24 ans,473,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,UDI,Féminin,20 à 24 ans,389,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,Prisonniers,Masculin,20 à 24 ans,400,2023-T4
Kinshasa,2023,T4,Nombre de clients testés,Prisonniers,Féminin,20 à 24 ans,250,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,Prisonniers,Masculin,20 à 24 ans,4,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,TG,Masculin,20 à 24 ans,6,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,TG,Féminin,20 à 24 ans,15,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,Prisonniers,Féminin,20 à 24 ans,3,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Masculin,20 à 24 ans,14,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,PS,Féminin,20 à 24 ans,36,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,HSH,Masculin,20 à 24 ans,31,2023-T4
Kinshasa,2023,T4,Nombre de clients diagnostiqués VIH+,Etudiants,Féminin,20 à 24 ans,8,2023-T4
Mongala,2023,T1,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,14402,2023-T1
Mongala,2023,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,170,2023-T1
Mongala,2023,T1,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,2527,2023-T1
Mongala,2023,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,2527,2023-T1
Mongala,2023,T2,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,5691,2023-T2
Mongala,2023,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,136,2023-T2
Mongala,2023,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,7848,2023-T2
Mongala,2023,T2,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,5845,2023-T2
Mongala,2023,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,139,2023-T2
Mongala,2023,T2,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,11972,2023-T2
Mongala,2023,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,195,2023-T2
Mongala,2023,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,190,2023-T2
Mongala,2023,T2,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,2603,2023-T2
Mongala,2023,T2,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,2603,2023-T2
Mongala,2023,T3,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,8790,2023-T3
Mongala,2023,T3,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,138,2023-T3
Mongala,2023,T3,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,12220,2023-T3
Mongala,2023,T3,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,2649,2023-T3
Mongala,2023,T3,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,2649,2023-T3
Mongala,2023,T4,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,22763,2023-T4
Mongala,2023,T4,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,198,2023-T4
Mongala,2023,T4,Nombre de PVVIH sous TAR,Population Générale,Masculin,25 à 49 ans,2529,2023-T4
Mongala,2023,T4,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,2529,2023-T4
Kwango,2023,T4,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,PVVIH,Masculin,25 à 49 ans,1,2023-T4
Kwango,2023,T4,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,PVVIH,Féminin,25 à 49 ans,5,2023-T4
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,10 à 14 ans,16,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,15 à 19 ans,90,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,20 à 24 ans,283,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,668,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,>= 50 ans,127,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,10 à 14 ans,19,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,15 à 19 ans,132,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,20 à 24 ans,819,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,25 à 49 ans,1399,2024-T1
Lomami,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,>= 50 ans,210,2024-T1
Lomami,2024,T1,Nombre  de PVVIH sous TAR qui ont supprimée la charge virale,PVVIH,Masculin,25 à 49 ans,1,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Masculin,10 à 14 ans,86,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Masculin,< 10 ans,5,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Masculin,20 à 24 ans,1982,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Masculin,15 à 19 ans,298,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Masculin,25 à 49 ans,1496,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Masculin,>= 50 ans,122,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Féminin,10 à 14 ans,92,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Féminin,20 à 24 ans,9130,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Féminin,15 à 19 ans,461,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Féminin,>= 50 ans,311,2024-T1
Lomami,2024,T1,Nombre de clients testés,Population Générale,Féminin,25 à 49 ans,10246,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,15 à 19 ans,3,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,20 à 24 ans,18,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,9,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,>= 50 ans,2,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,10 à 14 ans,1,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,15 à 19 ans,3,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,25 à 49 ans,46,2024-T1
Lomami,2024,T1,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,20 à 24 ans,17,2024-T1
Sud-Ubangi,2024,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,20 à 24 ans,8,2024-T2
Sud-Ubangi,2024,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Masculin,25 à 49 ans,10,2024-T2
Sud-Ubangi,2024,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,20 à 24 ans,72,2024-T2
Sud-Ubangi,2024,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,15 à 19 ans,18,2024-T2
Sud-Ubangi,2024,T2,Nombre de clients diagnostiqués VIH+,Population Générale,Féminin,25 à 49 ans,36,2024-T2
Sud-Ubangi,2024,T2,Nombre de PVVIH sous TAR,PVVIH,Masculin,20 à 24 ans,4,2024-T2
Sud-Ubangi,2024,T2,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,7,2024-T2
Sud-Ubangi,2024,T2,Nombre de PVVIH sous TAR,PVVIH,Féminin,20 à 24 ans,70,2024-T2
Sud-Ubangi,2024,T2,Nombre de PVVIH sous TAR,PVVIH,Féminin,15 à 19 ans,18,2024-T2
Sud-Ubangi,2024,T2,Nombre de PVVIH sous TAR,PVVIH,Féminin,25 à 49 ans,34,2024-T2
Sud-Ubangi,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Masculin,25 à 49 ans,3,2024-T1
Sud-Ubangi,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,25 à 49 ans,7,2024-T1
Sud-Ubangi,2024,T1,Nombre de PVVIH sous TAR,PVVIH,Féminin,20 à 24 ans,27,2024-T1
Lomami,2024,T2,Nombre de clients testés,PS,Féminin,15 à 19 ans,111,2024-T2
Lomami,2024,T2,Nombre de clients testés,PS,Féminin,25 à 49 ans,582,2024-T2
Lomami,2024,T2,Nombre de clients testés,PS,Féminin,20 à 24 ans,428,2024-T2
